순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
28,9791197431661,104688132,오늘부터 건물주,"14,400원",800원,제이든(채병도),탈잉,"“이제, 월급 대신 월세 받자!” 28세 사회 초년생, 1년 만에 부동산 3채 건물주 된 비결? 평범한 20대도 건물주로 만들어주는 ‘부동산 경매 투자’ 수많은 직장인들의 꿈. 건물주가 되는 것이다. “조물주 위에 건물주 있다.”라는 우스갯소리는 물론이고, 심지어 어린이와 청소년들의 꿈 1위가 건물주라는 서글픈 이야기도 들려온다. 복권에 당첨되면 무얼 할 거냐는 질문에 가장 먼저 건물을 사겠다는 말은 이제는 마치 뻔한 정답 같다. 이쯤 되면 건물주를 꿈꾸지 않는 사람은, 이미 건물주인 사람들 외에는 없어 보인다. 대한민국에서 부동산 투자는 여러 재테크 중에서도 제일로 꼽힌다. 월세를 받아 매달 안정적인 수익을 올릴 수 있을 뿐 아니라, 시간이 지나 부동산을 팔았을 때 큰 차익을 낼 수 있기 때문이다. 하지만 대부분의 사람들은 부동산 투자에 쉽게 뛰어들지 못한다. 투자에 필요한 종잣돈이 없기 때문이다.",1,국내도서-경제 경영
29,9791162540381,64367255,10년 동안 적금밖에 모르던 39세 김 과장은 어떻게 1년 만에 부동산 천재가 됐을까?,"15,120원",840원,김재수(렘군),비즈니스북스,"“10년 후에도 대한민국에 산다면 부동산 공부는 필수다!” 빠숑, 청울림, 호빵 등 유명 투자자들이 인정한 숨은 고수 렘군이 들려주는 부동산으로 제2, 3의 월급을 만드는 최고의 방법! 『10년 동안 적금밖에 모르던 39세 김 과장은 어떻게 1년 만에 부동산 천재가 됐을까?』는 생계형 외벌이 노동자였던 저자가 부동산 투자를 통해 자산을 100배로 불리고 경제적 자유를 누리게 된 과정과 그 투자전략을 담고 있다. ‘내 집 하나 마련해보리라’는 간절한 마음으로 시작해 유망 아파트 30채를 보유하게 되기까지 7년 동안 부동산 투자를 하면서 깨달은 것, 경험했던 것을 원칙별로 정리해놓았다. 언제 사고 팔아야 좋은지, 유망 지역은 어떻게 알아보는지, 내게 꼭 맞는 투자물건은 어떻게 찾는지 등 혼재와 악재에도 흔들리지 않는 투자 노하우를 이 책에서 만나볼 수 있다.",1,국내도서-경제 경영
30,9791189352424,102965341,투자의 본질,"16,200원",900원,박세익,위너스북,"시장을 꿰뚫는 통찰력과 날카로운 전략으로 동학개미의 스승이라고 불리며 유튜브와 방송에서 가장 두터운 팬층을 확보한 박세익 전무의 현명한 투자 행복한 투자! 박세익 전무는 코로나19로 인해 한 치 앞을 내다보기 힘들었던 혼란의 시기에 유튜브 채널과 미디어를 통해 코스피 3,000 돌파를 가장 먼저 예언하며 주식투자를 적극 권했던 강세론자다. 시장을 꿰뚫는 통찰력과 날카로운 전략으로 ‘동학개미의 스승’ ‘여의도의 현인’ ‘갓세익’이라고 불리며 아이돌 팬클럽 못지않은 두터운 팬층을 보유하고 있다. 그런 박세익 전무가 개인투자자들을 위해 27년간 치열한 전투를 치르며 쌓아온 소중한 노하우를 『투자의 본질』 책 한 권에 모두 담았다. 이 책에서는 주식투자의 기본과 원칙, 철학뿐만 아니라 시장 조정 가능성과 그 이유, 그리고 적절한 대응 전략을 내보이며, 투자자들이 시장을 바라보는 정확한 관점과 이정표를 제시하여 어떤 시장에서도 이길 수 있는 투자 전략을 알려준다.",1,국내도서-경제 경영
31,9791191347180,101666872,매매의 기술,"16,200원",900원,박병창,포레스트북스,"주식은 타이밍이다! 여의도 최고의 트레이더와 함께하는 승률 99%의 16가지 상황별 매매 타이밍과 실전 노하우 매매를 하다 보면 매 순간 선택의 갈림길에 놓인다. 이유는 모르지만 갑자기 매수세가 강해지며 주가가 치솟는 종목이 있는데, 이럴 때 동반 매수해야 하는지 아니면 위험 신호이니 보유 중인 주식을 팔아야 하는지 고민이 된다. 그 반대도 마찬가지다. 갑자기 매도세가 강해지며 낙폭을 키워가는 종목에서는, 보유 중인 주식을 팔아야 하는지 아니면 물량을 끌어내려는 매집 세력의 제스처일 뿐이니 나도 덩달아 수량을 늘려야 하는지 고민하게 된다. 특정 가격에 매수 호가 또는 매도 호가가 이례적으로 쌓여 있을 때도 그것이 어떤 의미인지 속 시원하게 알고 싶어진다. 시장에 참여하다 보면 이런 일은 부지기수다. 여의도 최고의 트레이더로 이름난 저자 역시 30년 가까운 실전 과정에서 그런 상황을 수도 없이 겪었다.",1,국내도서-경제 경영
32,9791164408580,105106894,종목 선정 나에게 물어봐,"23,400원","1,300원",김정수,하움출판사,"2021년 10개월 동안 월평균 1억 원 이상 번 저자의 주식 매매 기법 OPEN! 절대 사지 말아야 할 종목 유형 12개 반드시 사야 할 종목 유형 12개 하루 만에 따라 하는 종목 선정 필살기 8년 동안 12번의 깡통, 누적 손절매액 11억 원, 하루 최대 손절매액 5억 4천만 원, 코로나 사태로 인한 주가 대폭락 시 손절매액 3억 6천만 원… 그러나 2020년 6월 매매 재개 후 매월 흑자 실현, 2021년 10개월간 13억 이익 실현! 그 기법이 궁금하다면? 9년 동안 5백만 개 이상 차트 판독, 9년 동안 5만 건 이상 실제 매매, 하루 최대 매매 건수 191건, 하루 차트 1000개 이상 판독, 1초에 차트 1개 판독! 불사조 김정수의 『종목 선정 나에게 물어봐』가 답이다.",1,국내도서-경제 경영
33,9791168120518,105120148,"반도체, 넥스트 시나리오","15,300원",850원,권순용 저,위즈덤하우스,"자율주행자동차, 메타버스, 암호화폐, 뇌-컴퓨터 인터페이스… 어떤 미래를 상상하든 그 중심에는 반도체가 있다! 첨단 제품부터 새로운 시장까지, 다음 10년을 설계하는 반도체 기술의 최전선 공학 유튜버 ‘에스오디 SOD’가 가까운 미래 우리 삶을 혁신할 최신 반도체 기술과 시장을 소개한 책이다. 한국생산기술연구원에서 반도체 패키지 소재를 연구한 저자는 이후 유튜버로 활동하며 전문 지식을 쉽고 재미있게 소개해 많은 사랑을 받고 있다. 복잡한 수식 없이 반도체의 기술적 원리와 최신 연구, 시장 동향과 전망을 친절하게 설명한 이 책은 반도체를 처음 공부하는 사람과 투자를 준비하는 사람 모두에게 최고의 입문서가 될 것이다. 특히 반도체와 연계된 주요 분야를 다룬 부록 ‘증폭’과 ‘스위칭’으로 이해의 폭을 한층 넓혔다. 책은 반도체를 “확실한 미래”로 제시한다. 실제로 전 세계의 모든 기술과 자본이 반도체에 집중되고 있다. 반도체 시장은 2020년 10.",1,국내도서-경제 경영
34,9788965183365,103505075,가상화폐 단타의 정석,"13,500원",750원,나씨,경향미디어,"“차트 이론을 전혀 몰라도 차트를 볼 수 있다?” “수익률은 내가 더 높은데 왜 저 사람보다 돈을 못 벌까?” 2017년 500만 원으로 8개월 만에 15억 원 수익, 2021년 4,000만 원으로 6개월 만에 14억 원 수익을 달성한 저자가 몸소 체득하고 효과를 입증한 가상화폐 단타 매매 기법과 리스크 관리법 소개 가상화폐 단타 매매를 해야 하는 이유 같은 시기에 가상화폐를 사더라도 결과는 차이가 많다. 심지어 수익률은 내가 더 높은데 다른 사람이 훨씬 돈을 많이 벌기도 한다. 그 까닭이 뭘까? 저자는 2017년 500만 원으로 코인판에 뛰어들어 독자적인 매매 기법을 익혀 8개월 만에 15억 원의 수익을 달성하고 코인판을 나왔다. 이 책을 집필하며 2021년 1월 4,000만 원으로 다시 코인판에 복귀했고 6개월 만에 14억 원의 수익을 달성했다.",1,국내도서-경제 경영
35,9788901252537,103768967,거대한 가속,"15,300원",850원,스콧 갤러웨이/박선령,리더스북,"★ 2020년 팬데믹 위기 속 아마존 최고의 화제작 ★ ★ 《뉴욕 타임스》 《파이낸셜 타임스》 《이코노미스트》 강력 추천 ★ 개인, 사회, 비즈니스… 모든 추세가 10년씩 앞당겨졌다! 독점하는 승자와 학살당하는 패자로 나뉜 비즈니스 판도, 원격 교육 도입으로 위험과 기회가 공존하는 고등교육 시장, 쏟아지는 변화와 혁신 앞에서 재정립되는 공공 시스템… NYU 스턴 경영대학원 마케팅 교수 · 『플랫폼 제국의 미래』 저자 스콧 갤러웨이가 들려주는 대담하고 파격적인 미래 시나리오 채 2년도 되지 않은 기간에 우리는 이전에는 상상할 수 없었던 변화를 목격하고 있다. 어느 날 갑자기 등장한 코로나 바이러스는 개인과 기업, 시장과 사회 등 모든 분야의 추세(trend line)를 10년씩 앞당기고 있으며, 무엇보다 이러한 변화의 속도는 앞으로 점점 더 빨라질 것으로 보인다.",1,국내도서-경제 경영
36,9791188754489,103509708,하면 된다! 퀀트 투자,"16,830원",930원,강환국/신진오,에프엔미디어,"업무에 집중하며 6개월에 한 번만 매매해도 연복리 20% 달성 초·중급 투자자에게 최적화된 저평가주·고수익 퀀트 전략 제시 2017년 출간돼 화제를 모으며 개인 투자자들의 퀀트 투자 붐을 일으킨 『할 수 있다! 퀀트 투자』의 후속작. 이번 책은 고수익이 기대되는 초저평가주 발굴 등 ‘공격형 전략’에 초점을 맞췄다. 전작에서 제시한 전략들을 개선했고, 새로운 전략도 대거 제시하며, 초보자도 실전에서 따라 할 수 있도록 쉽게 풀어 설명했다. 『하면 된다! 퀀트 투자』는 본업에 집중하면서 투자를 병행해도 경제적 자유를 달성할 수 있다는 것을 입증했다. 저자가 입사 12년 만에 ‘신의 직장’ 공기업에 사표를 던지고 ‘30대 파이어족’을 선언케 한 퀀트 투자 전략을 담은 책이어서다. 예를 들어 밸류(가치주), 퀄리티(우량주), 모멘텀(추세 추종) 팩터를 결합한 ‘강환국 울트라 전략’의 소형주 투자는 2001~2020년 기간의 연복리 수익률이 무려 43%다.",1,국내도서-경제 경영
37,9788998342685,104687451,2022 피할 수 없는 부채 위기,"16,200원",900원,서영수,에이지21,"금융의 관점에서 부동산을 분석하는 국내 유일의 전문가 키움증권 서영수 애널리스트가 한국 경제를 진단한다! 이미 강남 아파트 가격이 미국 맨해튼의 평당 가격을 넘어선 지 오래다. 자산은 버블 국면에 진입하면 그 자체의 관성으로 계속 오르는 경향이 있다. 언젠가 터질 것을 알지만 적어도 내 앞은 아닐 것이라는 낙관론, 정부가 무언가 할 것이라는 학습 효과가 지금과 같은 2030세대의 비이성적인 주택 추격 매수까지 양산하고 있다. 그렇다면 한국의 가계부채는 얼마나 위험한가? 향후 경제에 부담을 줄 사안을 넘어 금융 시스템 위기, 나아가 전반적인 경제 위기로까지 확산될 것인가? 오랫동안 금융의 관점에서 부동산을 분석해온 저자가 부채 위기의 진단을 통해 경고와 조언, 정책 방안을 제시한다.",1,국내도서-경제 경영
38,9791190977265,101874075,부의 시나리오,"16,200원",900원,오건영,페이지2,"“인플레 공포 너머 다음 스텝을 준비하라! ” 금융천재 오건영의 똑똑한 투자 포트폴리오 불안한 금융시장, 중심을 잡아줄 친절하고 생생한 인사이트 오건영 저자가 불안한 금융시장 속, 흔들리는 투자자들의 다음 스텝을 지켜주기 위해 돌아왔다. 읽기만 해도 경제 흐름과 지식이 손에 잡히는 독보적인 오건영표 친절한 설명은 기본, 인플레 공포와 맞서 싸우는 것을 도와줄 ‘부의 시나리오’도 준비했다. ‘여의도 1타강사’라는 수식어에 걸맞게 경제 개념이 머릿속에 쏙쏙 박히도록 그래프, 기사를 적재적소에 배치하고, 여기에 일러스트를 삽입해 한층 더 쉽지만 강력하게 업그레이드했다. 코로나19 위기 이후 금리 안정화를 위해 발 벗고 나선 중앙은행과 쏟아지는 경기부양책, 그로 인한 후폭풍까지 꼬리에 꼬리를 물고 이어지는 저자의 설명을 따라가다 보면 어느 순간 경제를 보는 눈이 뜨이고, 불안한 금융시장과 맞서 싸울 수 있는 단단한 투자 포트폴리오가 손에 잡힐 것이다.",1,국내도서-경제 경영
39,9791191360196,102831957,미래의 부,"15,300원",850원,이지성,차이정원,"석유는 데이터로, 부동산은 데이터센터로, 코로나19가 가속화한 4차 산업혁명 시대. 부의 흐름을 따라잡기 위한 친절하고 직관적인 안내서. 부동산 가격 폭등, 고령화, 경제난 등 우리 국민이 맞닥뜨리게 될 암울한 미래의 해답을 미국 우량주식 장기투자에서 찾는다. 여기서 말하는 미국 우량주식 장기투자는 단기간에 높은 수익을 얻고자 하는 최근의 주식투자 열풍과는 그 결이 다르다. 비메모리 반도체, 자율주행, 데이터센터, 클라우드 서비스, 헬스케어 산업 등 4차 산업혁명의 모든 열쇠를 쥐고 있는 미국과 미국의 주식시장, 그중에서도 우량주식 장기투자에 대해 안내하며, 앞으로 100년 이상 이어질 인공지능 시대에 세계 경제를 주도할 국가와 기업들의 비전을 읽어내고, 그 가치에 장기적인 투자를 하기 위해서는 많은 공부와 인내심, 그리고 강력한 믿음이 필요하다고 역설한다.",1,국내도서-경제 경영
40,9788957821923,104664830,"비트코인 수업, 코린이가 묻고 세력이 답하다","15,300원",850원,강기태(세력) 저,국일증권경제연구소,"[서른살, 비트코인으로 퇴사합니다] 저자 ‘세력(강기태)’의 신작 코린이(코인+어린이)들이 알아야 할 가상자산과 투자의 모든 것! [서른살, 비트코인으로 퇴사합니다]를 통해 비트코인 투자 비전을 제시했던 작가 ‘세력’이, 코린이를 위한 본격 투자지침서 [비트코인 수업, 코린이가 묻고 세력이 답하다]를 출간했다. 세력은 자신 또한 문과 출신에 IT 종사자도 아니었기에 과거 코린이였던 시절이 있었음을 고백하며, 코린이의 입장에서 가상자산 투자에 있어 궁금한 모든 것을 이 책에 저술했다고 밝힌다. 이 책에는 투자 2년 만에 2,000만 원을 50억 원으로 만든 세력의 코인투자 노하우가 ‘질문과 답변’ 형식으로 담겨있다. “최소한의 지식 보유 여부가 투자성공의 열쇠였다” 대부분의 코린이들은 ‘무엇에 투자하는지’에 대해서만 집중한다. 하지만 정말 중요한 것은 ‘어떻게 투자하는지’다.",1,국내도서-경제 경영
41,9791187444695,104263801,초보자를 위한 투자의 정석,"15,120원",840원,브라운스톤(우석),토트출판사,"나에게 맞는 투자법을 찾는 아이디어와 통찰을 주는 책 많은 팬들이 오랫동안 기다리던 우석의 실패하지 않는 주식투자법. 우석은 “최근 1년 6개월 수익률 530%”라는 경이로운 기록을 공개하며, 주식시장에 발을 들인 사람이라면 반드시 장착해야 할 주식투자의 정석을 이해하기 쉬운 일상의 용어로 풀어낸다. 내 몸에 맞는 주식 투자법을 찾으면 누구나 성공할 수 있다는 그의 조언에 따라, 이 책이 공포와 탐욕을 이겨내고 성공투자의 길로 들어서는 발판이 되기를 바란다.",1,국내도서-경제 경영
42,9791188754526,104865029,다모다란의 투자 전략 바이블,"25,200원","1,400원",어스워스 다모다란/이건/홍진채,에프엔미디어,"“모든 투자 전략을 의심하고 검증하라! 그리고 반드시 이해하라!” 세계적 석학 다모다란 교수가 일반 투자자를 위해 쓴 투자 전략서 주식시장에는 우리의 귀를 솔깃하게 하는 갖가지 투자 비법이 난무한다. 저PER주부터 고배당주, 성장주, 역발상, 모멘텀 투자에 이르기까지 대가들의 투자 원칙과 조언도 수없이 듣는다. 그러나 그 전략을 실행했을 때 투자 성과는 왜 만족스럽지 못할까? 이 책은 이들 투자 전략이 어떻게 사람들을 현혹해 투자에 실패하게 하는지를 낱낱이 파헤친다. 우리가 철석같이 믿고 따르는 투자 전략에 숨겨진 ‘함정’을 들춰내고 이를 피해 가는 길도 알려준다. 책은 잘못된 투자 방법을 정량적으로 분석하는 데 그치지 않는다. 끊임없이 질문을 던지고 검증을 거쳐 각 방법이 가진 강점과 약점, 위험 요소를 파악하게 한다. 이를 통해 투자자 개개인이 처한 여건에 맞춰 적용할 만한 판단 기준을 세울 수 있게 돕는다.",1,국내도서-경제 경영
43,9788959893553,20400352,투자는 심리게임이다,"10,800원",600원,앙드레 코스톨라니,미래의창,"전설적인 투자자, 앙드레 코스톨라니가 들려주는 투자의 정글에서 살아남기 증권시장의 모든 데이터들을 아는 것만으로 코스톨라니는 만족하지 못했다. 그에게는 ‘환상’이 성공적인 투자와 예측의 엔진으로 남아 있었다. 그리하여 그는 조직적 투기와 증권시장의 컴퓨터들을 경멸했다. 거기에는 환상이 결여되어 있기 때문이다. 인간적인, 너무나 인간적인 것들이 때로는 증권시장의 움직임을 조정하고 그것을 넘어서기도 한다. 이것을 설명하려는 것이 이 책의 핵심 목표이다.",1,국내도서-경제 경영
44,9788925588636,101780937,[예스리커버] 나는 주식 대신 달러를 산다,"14,400원",800원,박성현,알에이치코리아(RHK),"“주식보다 쉽고, 부동산보다 안전하다!” 투자는 기본적으로 가치 있는 자산이 그 대상이다. 가치 있는 자산은 인플레이션에 의해 시간이 흐를수록 그 가격이 상승하기 때문이다. S전자 주식이나 강남의 아파트 역시 현시점 높은 가격에 거래되고 있지만, 그 자체가 절대적 가치를 품고 있다고는 할 수 없다. 달러는 어떤가? 고유의 절대적 가치, 대체 불가한 가치를 지니고 있다. 달러는 미국을 제외한 어떤 나라에서도 발행하지 못하는, 세계 어느 곳에 가더라도 통용되는 ‘세계의 돈’이다. 많은 이가 부동산과 주식 시장에 열광하는 이때, 달러 투자를 권하는 것도 이 때문이다. 주식 투자의 성패는 종목 선택에 달렸다. 부동산 투자 전에는 입지와 권리 분석은 물론이거니와 세금 등 신경 써야 할 게 너무 많다. 하지만 달러 투자는 그 대상이 달러로 정해져 있는 데다 세계 최고 권력을 쥔 미국의 돈이라는 점에서, 가치 하락의 위험도 거의 없다.",1,국내도서-경제 경영
45,9791187993940,105104928,부의 체인저 1,"16,200원",900원,김장섭,트러스트북스,"남아 있던 단점까지 극복한 세상에서 가장 완벽한 투자서! 조던 김장섭의 이전 책 『내일의 부』(전2권)는 독자들로부터 열광적인 환호와 큰 사랑을 받았다. 2020년 3월 코로나 위기로 전세계 증시가 폭락세를 연출하면서 독자들의 관심이 증폭되었고, 종합베스트셀러 2위까지 오르는 기염을 토했다. 많은 투자자들이 조던의 ‘-3%룰’ 덕분에 손실을 최소화하고, 위기를 기회로 바꿀 수 있었다. 저자는 이전 책에서 나스닥지수에서 한 달에 -3% 이상의 급락이 4번 이상 나오는 상황을 공황으로 규정하고, 이때 투자자들이 어떻게 대처해야 하는지 다루었다. 바로 2020년 3월 코로나 위기 때 나스닥지수 -3% 이상이 4번 발생하면서 공황에 들어갔고, 책의 출간 시기와 절묘하게 맞아떨어지며, 많은 독자들의 호응과 관심을 받았고, 어려운 상황에서 올바른 대처법을 도움 받을 수 있었다.",1,국내도서-경제 경영
46,9791165217433,104984649,월급쟁이 투자자를 위한 완벽한 실전 투자법,"14,850원",820원,이강연,길벗,"직장은 현금흐름을 만들어내는 황금알! 직장인들이여, 업무에 충실하면서 세상 흐름도 보고 맘 편하게 투자하라! 기업분석 30년, 최고의 투자 전문가 포카라가 알려주는 월급쟁이를 위한 실전 투자서! 현재 직장인인데 자주 자리를 비우면서 주가를 확인하는가? 그렇다면 아마도 직장생활이 불행해질 가능성이 높다. 투자한 주식이 출렁이는데 평온한 마음으로 일을 할 수 있다고? 불가능하다! 단타로 돈 벌기도 쉽지 않지만, 일단은 제대로 된 직장생활이 먼저다. 주업과 부업을 혼동하지 마라. 이 책은 매일 3만 명이 찾는 주식투자 블로그 ‘포카라의 실전투자’를 운영하는 저자가 쓴 월급쟁이 투자자를 위한 최적의 안내서다. 매일의 주가에 일희일비하지 않을 수 있는 투자 노하우를 담고 있다. 직장인은 10개 정도의 우량주 종목을 포트폴리오에 넣고 편안한 매매를 추구해야 한다. 몇 종목을 계좌에 넣고 세월아 네월아 하라는 소리가 아니다.",1,국내도서-경제 경영
47,9791165210144,85156209,주식투자 무작정 따라하기,"16,200원",900원,윤재수,길벗,"『주식투자 무작정 따라하기』의 5차 개정판에는 지금 당장 시장 분석에 활용할 수 있도록 업데이트된 시장분석자료와 기업데이터는 물론 스마트폰의 대중적 보급에 따른 모바일 환경에서의 투자 조언, 달라진 주식시장 제도, 해외주식투자자를 위한 친절한 조언 등을 꼼꼼하게 담았다. 투자의 기본 원칙은 잃지 않는 것이다. 이 책은 안전하면서도 확실하게 수익 내는 주식투자의 기본 원칙을 충실하게 담고 있다. 40년 넘게 주식시장을 지켜온 정통 전문가인 저자가 폭넓은 안목과 시장에 대한 깊이 있는 판단, 올바른 투자에 대한 현실적인 조언을 담아냈다. 또한 왕초보는 물론 중급자로 발돋움하려는 투자자를 위해 급변하는 시장환경에 따라 등락을 거듭하는 주식시장에서 HTS를 이용해 제대로 된 종목과 매매시점을 선정하는 법과 주식시장의 변화를 이해하기 위한 경제 흐름 읽는 법까지 알려준다.",1,국내도서-경제 경영
48,9788960305885,104491194,"나는 1,000만 원으로 아파트 산다","16,200원",900원,시크릿브라더,황금부엉이,"‘부동산 스터디’ 카페 누적 조회수 100만 회 170만 부동산 카페 회원들이 열광하는 시크릿브라더의 아파트 투자 비결! “아파트 투자, 아직 늦지 않았습니다.” 부린이의 내 집 마련, 소액으로 투자부터 시작하자! ""너무 많이 올랐어. 이제 내려갈 거야."" ""거품이야. 이 가격이 말이 돼?"" 가파르게 오른 집값에 무주택자는 지나가는 부동산 뉴스에도 마음이 크게 요동친다. 부동산 가격이 하락하기만을 기다리는 일은 불투명한 미래에 인생을 배팅하는 것과 같다. 언제까지 이번 생엔 집 사긴 글렀다고 생각하며 가만히 손 놓고 있을 순 없다! 이젠 내 집 마련의 관점을 달리 보아야 할 때이다. 처음부터 실거주할 집을 매매할 필요는 없다. 현재 자금이 부족하다면 소액으로도 지금 할 수 있는 것을 해야 한다. 누구나 살고 싶어 하는 서울은 이제 평균 아파트값이 12억에 육박한다.",1,국내도서-경제 경영
49,9788986022421,104648750,그래서 브랜딩이 필요합니다,"12,600원",700원,전우성,책읽는수요일,"네이버, 29CM, 스타일쉐어 등을 거치며 차별화된 브랜딩 전략과 실행으로 MZ세대가 열광하는 브랜드 가치를 만들어낸 브랜딩 전문가 전우성 디렉터의 브랜딩에 대한 생각과 조언 브랜딩의 성공적인 사례들을 소개하는 콘텐츠는 많지만, 정작 그것을 참고해 나의 경우에 맞게 적용하기란 쉽지 않다. 브랜딩이란 무엇일까? 그것은 왜 해야 하는 걸까? 어디서부터 시작하고 또 어떻게 진행해야 할까? 성공적인 브랜딩을 위해서는 어떤 것들이 필요할까? 네이버, 29CM, 스타일쉐어 등을 거치며 차별화된 브랜딩 전략을 실행해온 전우성 브랜딩 디렉터가 일하는 과정에서 품었던 브랜딩에 관한 여러 가지 질문들과 그 나름의 답을 이 책, 『그래서 브랜딩이 필요합니다』에 담았다.",1,국내도서-경제 경영
50,9791190826815,104405701,앞으로 10년 부의 거대 물결이 온다,"16,200원",900원,에릭 레드먼드/정성재,유노북스,"쓰나미처럼 밀려올 기회에 먼저 올라타라! 전 세계 자본이 집중되는 범용 기술의 파괴적 혁신 2000년대는 인터넷, 2010년대는 스마트폰의 시대였다. 2020년대는 역사상 가장 변혁적인 시기로 기록될 것이다. 전 세계인은 불과 몇 년 사이에 암호 화폐로 경제 홍역을 치르고 메타버스를 경험했으며 자율 주행 기능이 장착된 자동차를 타기 시작했다. 3D 프린터로는 피부, 뼈, 각막을 출력하게 됐다. 그런가 하면 인공 지능과 사물 인터넷(IoT)은 우리 생활 전반에 들어와 있다. 한편 조 바이든 미국 대통령은 글로벌 기업들을 백악관으로 불러 양자 컴퓨터의 적용에 대해 논의할 예정이다. 이 최첨단 기술들을 뜻하는 ‘딥테크’는 오늘날 초기 단계를 지나는 중이며, 미래에는 엄청난 영향력을 가진 범용 기술로 자리 잡고 존재하기 전의 삶을 떠올리기조차 힘들 것이다.",1,국내도서-경제 경영
51,9791187799146,95605209,엑시트 EXIT,"15,300원",850원,송희창(송사무장),지혜로,"제대로 된 길을 알면 누구나 평범한 삶에서 엑시트(EXIT) 할 수 있다! 수많은 부자를 만들어낸 부자들의 스승, 그의 모든 노하우를 공개한다. 평범한 삶을 벗어나 부자의 길로 엑시트(EXIT)하라! 당신을 부자의 길로 들어서게 해줄 자본주의 사용설명서 누구나 꿈을 갖고 있지만, 대부분은 이루지 못하고 꿈으로만 간직한 채 살아간다. 이것이 자신의 정해진 운명이라 믿고 현실을 탓하며 오늘도 평범한 인생에서 벗어나지 못하는 사람들을 위한 책! 나이트클럽에서 아르바이트를 하며 종잣돈을 모아 부동산 투자와 사업으로 수백억 부자가 된 ‘진짜 부자’의 자본주의 사용설명서이다. 자본주의 사회를 살아가면서 이 방법을 아는 사람과 모르는 사람 간의 격차는 끊임없이 벌어진다. 학교에서는 절대 배울 수 없는 이 방법으로 저자는 부자가 되었고, 뿐만 아니라 이 방법을 통해 저자는 그의 수많은 제자들까지 부자로 만들어냈다. 참고로, 이들이 부자가 되기까지 걸린 평균 시간은 약 3년.",1,국내도서-경제 경영
52,9788968333422,104666810,보는 순간 사게되는 1초 문구,"16,020원",890원,장문정,블랙피쉬,"말보단 글을 읽고 사는 시대, 소비자는 글에 혹한다 지금부터 1초 문구로 승부하라! 직관적으로 소비자에게 1초 만에 팍! 박힌다 돈 들이지 않고 매출을 올릴 수 있다 잘만 지어놓으면 큰돈을 불러들인다 비대면으로도 수만 명에게 전파할 수 있다 온라인과 오프라인에 수많은 상품과 셀러가 쏟아지면서 소비의 판도가 달라졌다. 수많은 셀러들이 내세우는 상품들 속에서 어떻게 ‘내’ 상품을 사게 만들까? 요즘 소비자들은 비(非)대면을 선호하고, 귀로 듣고 구매하기보다 직접 눈으로 읽고 산다. 상품의 이름부터 상세 페이지, 카드뉴스, POP, 포장 문구까지! 이제 소비자의 눈을 사로잡는 언어가 판매를 좌우한다. 게다가 소비자들은 문구를 읽을 때 깊이 사고하지 않고, 직관에 의존하는 일이 많아지고 있다. 1시간에 210억 판매 신화를 가진 장문정의 진짜 팔리는 문구, 보자마자 혹해서 사게 되는 ‘1초 문구’가 필요한 이유다.",1,국내도서-경제 경영
53,9788925536927,91100761,백만장자 시크릿,"14,400원",800원,하브 에커/나선숙,알에이치코리아(RHK),"아마존 최장기 베스트셀러 10년간 부자 마인드의 바이블로 극찬이 쏟아진 책 200만 명을 부자 반열로 올린 하브 에커의 저력을 확인하라! 『백만장자 시크릿』(원제 : Secrets of Millionaire mind)은 부자 마인드의 바이블로 통하며, 많은 이들의 찬사를 받았다. 특히 “월급 200만 원 인생을 끝내준 책” (유튜버 N잡하는 허대리)이라며 자신의 인생을 송두리째 바꿔준 책이라고 강조한다. 이처럼 스테디셀러로써 꾸준히 애정을 받은 데에는 분명한 이유가 있다. 먼저 저자가 성공과 실패를 직접 경험한 후, 원인과 해결책을 찾아 제시했다. 또한 경제 상황에 따라 시시각각 달라지는 재테크 비법보다, 독자 개개인의 상황에 적용할 수 있는 17가지 부자 매뉴얼을 만들었다. 갈팡질팡하다가 부자 될 기회를 놓치지 말고, 당신도 부자 반열에 오른 200만 명처럼 하브 에커의 조언을 착실히 따라보자. 의심을 거둔다면, 곧 뼛속까지 부자 마인드로 가득 찰 것이다.",1,국내도서-경제 경영
54,9791160023176,96644794,주린이가 가장 알고 싶은 최다질문 TOP 77,"16,200원",900원,염승환,메이트북스,"‘염블리’ 염승환이 전하는 주식투자 시 필수지식과 태도, 경험을 담은 주식투자 바이블. 2020년 100조 원이 넘는 주린이들의 자금이 주식시장에 유입되었다. 세대를 막론하고 주식투자가 건전한 재테크 및 노후준비 수단으로 부상하며 많은 이들이 주식투자 정보 방송을 즐겨보고 듣기 시작했다. 주린이들의 사랑을 받으며 주목받는 스타도 생겨났다. 이 책의 저자인 염승환이 바로 그 대표주자다. 매일 아침 유튜브 방송 [삼프로 TV]에 출연하며 주식시황 및 투자정보를 친절하고 성실하게 전달하는 그에게 많은 주린이들이 신뢰와 감사 메시지를 보냈다. 저자도 주린이 시절, 막연한 느낌과 소문에 의지해 주식투자를 하던 때가 있었다. 요행히 큰 수익률을 올리기도 했지만 보유하고 있던 주식이 상장폐지 되면서 큰 손실과 상처를 입은 뼈아픈 경험이 있다. 주린이들에게 주식공부를 제대로 해야 한다고 강조하는 이유가 바로 여기에 있다.",1,국내도서-경제 경영
